Dataset;Training Loss;Test Loss;Training Accuracy;Test Accuracy;Training F1;Test F1;Training Loss K = 100;Test Loss K = 100;Training Accuracy K = 100;Test Accuracy K = 100;Training F1 K = 100;Test F1 K = 100;Training Loss K = 1000;Test Loss K = 1000;Training Accuracy K = 1000;Test Accuracy K = 1000;Training F1 K = 1000;Test F1 K = 1000;Training Loss K = 10000;Test Loss K = 10000;Training Accuracy K = 10000;Test Accuracy K = 10000;Training F1 K = 10000;Test F1 K = 10000
Yoga;615;683;0.706081081081081;614;0.7027391527391527;0.6238050690050692;473;583;0.8027027027027027;0.7143333333333334;0.8089731289731292;0.7141234410034415;172;418;0.9777027027027027;0.8278;0.9782457782457782;0.8278;9;608;1.0;0.8544;1.0;0.8544
WormsTwoClass;499;734;0.7613636363636364;0.5277777777777778;0.5272893772893774;0.34636474636474635;499;0.57;0.8;0.7388888888888889;0.5502597402597403;0.4121897855231188;223;556;0.9545454545454546;0.7305555555555555;0.6103266430539157;0.7305555555555555;14;1.452;1.0;0.7333333333333334;0.6363636363636364;0.7333333333333334
Worms;871;1.796;0.6988636363636364;0.3472222222222222;0.42585396926306024;0.14378831045497714;846;899;0.7670454545454546;0.7333333333333334;0.47579159056431786;0.4971981105314438;205;821;0.9863636363636363;0.7388888888888889;0.9454545454545455;0.7388888888888889;3;2.688;1.0;0.7333333333333334;1.0;0.7333333333333334
WordSynonyms;1.064;2.28;0.7840909090909091;0.46044303797468356;0.6792520442520441;0.30175114618152593;655;1.563;0.8901515151515151;0.5981012658227848;0.8291420554753888;0.43606422490509283;22;1.36;1.0;0.6658227848101266;1.0;0.6658227848101266;0.0;7.755;1.0;0.6034810126582278;1.0;0.6034810126582278
Wine;504;478;0.7857142857142857;0.8958333333333334;0.3860805860805861;0.4761904761904762;421;537;0.8785714285714286;0.7791666666666667;0.42687598116169545;0.4604151404151404;66;528;1.0;0.7541666666666667;0.5714285714285714;0.7541666666666667;1;636;1.0;0.7583333333333333;0.5714285714285714;0.7583333333333333
Wafer;287;326;967;0.95;0.9803989787989786;0.9703500395708153;0.15;168;0.99;0.9814935064935065;0.994165407925408;0.9884983068879162;37;102;0.9982;0.9864935064935064;0.99904;0.9864935064935064;1;0.15;1.0;0.9896428571428572;1.0;0.9896428571428572
UWaveGestureLibraryZ;1.042;1.244;0.6372767857142857;0.5749440715883669;0.5121445274538389;0.4496930186215902;503;698;0.8354910714285714;0.7437360178970918;0.7632209264658241;0.6477250388958602;106;644;0.9848214285714285;0.7791946308724832;0.976673469387755;0.7791946308724832;1;2.272;1.0;0.7670581655480985;1.0;0.7670581655480985
UWaveGestureLibraryY;964;1.196;0.6975446428571429;0.5975950782997763;0.5820606575963719;0.4773620221143391;564;784;0.8171875;0.7238814317673378;0.7372498067408781;0.6137582269298465;122;763;0.9808035714285714;0.7573266219239373;0.9684920634920633;0.7573266219239373;14;3.002;0.9966517857142857;0.7414429530201342;0.9939421768707484;0.7414429530201342
UWaveGestureLibraryX;1.01;1.108;0.6595982142857143;0.6468120805369127;0.5345231515225136;0.5297302542692444;425;567;0.8642857142857143;0.8059843400447427;0.8020966553287978;0.7238685509003498;0.09;511;0.9850446428571429;0.8351230425055929;0.9736303854875283;0.8351230425055929;5;2.121;0.9991071428571429;0.8261744966442953;0.9976190476190475;0.8261744966442953
UWaveGestureLibraryAll;173;458;0.96875;0.8870246085011185;0.9448044217687074;0.8356124604950108;114;242;0.9796875;0.9339485458612976;0.9676989795918365;0.8987118597286382;3;145;1.0;0.9644295302013423;1.0;0.9644295302013423;0.0;1.0;1.0;0.9498881431767338;1.0;0.9498881431767338
