Dataset;Training Accuracy;Test Accuracy;Training F1;Test F1;Training Accuracy K = 100;Test Accuracy K = 100;Training F1 K = 100;Test F1 K = 100;Training Accuracy K = 1000;Test Accuracy K = 1000;Training F1 K = 1000;Test F1 K = 1000;Training Accuracy K = 10000;Test Accuracy K = 10000;Training F1 K = 10000;Test F1 K = 10000
Yoga;0.7076388865709304;0.6256048411130906;0.7228703051805496;0.6785146147012711;0.8194444417953491;0.6209677428007125;0.8232811331748963;0.6785146147012711;1.0;0.693212366104126;0.9888888895511627;0.6878188282251358;1.0;0.7136424690485;0.9888888895511627;0.7038003981113434
WormsTwoClass;0.7832596691273853;0.5850649350649351;0.7979486894212375;0.4913419918580489;0.8634530434292325;0.7017857142857142;0.8641739268329263;0.4913419918580489;1.0;0.7081168831168831;1.0;0.4913419918580489;1.0;0.6923701298701298;1.0;0.4913419918580489
Worms;0.7970165740060543;0.5162337662337663;0.7415310345960586;0.5072150106553908;0.8962983460716122;0.6446428571428571;0.8480012991151757;0.5072150106553908;0.9925414346858283;0.6881493506493507;0.9821752184662371;0.5149123912507837;0.9950276231238855;0.635551948051948;0.9860110500240853;0.5072150106553908
WordSynonyms;0.834562265917603;0.4635188093660019;0.7495871175987444;0.3073787781044981;0.9702949438202247;0.4453514291761811;0.9582849214585979;0.2866045856457145;1.0;0.49983088567525985;1.0;0.3263581317233441;1.0;0.4980036317648185;1.0;0.32816207773259437
Wine;0.9008771929824562;0.8569444444444445;0.8605903709143923;0.7408465658073071;0.987719298245614;0.6615740740740741;0.9890838213134231;0.47183422115114;1.0;0.6935185185185184;1.0;0.44813051830839223;1.0;0.6875;1.0;0.44370370926680386
Wafer;0.9673387199640274;0.9496744781732559;0.9804914593696594;0.9703254252672195;0.9959677457809448;0.9674479097127915;0.9976288914680481;0.9803860008716583;1.0;0.9596354166666666;1.0;0.975331441561381;1.0;0.959212240576744;1.0;0.9747803330421447
UWaveGestureLibraryZ;0.6448660671710968;0.5732669261665333;0.5245506793260575;0.45521407273979175;0.8665178537368774;0.6651735304221968;0.8021153420209884;0.5650149990698933;0.9941964238882065;0.6952395872088666;0.9909132659435272;0.5988693168281777;0.9906250029802323;0.6861173915137532;0.9858832150697708;0.5877693934223627
UWaveGestureLibraryY;0.6857142895460129;0.5996904581435761;0.5795971721410751;0.4915515513642416;0.8305803567171097;0.6393047583063244;0.75329110622406;0.5288554430656897;0.9946428577105204;0.6845224612284346;0.9924221436182658;0.5867501850488754;0.9774553596973419;0.6410096607249519;0.9668103754520416;0.5356853539087731
UWaveGestureLibraryX;0.6720982164144516;0.649738876727092;0.5616715297102928;0.5284497485621424;0.8814732164144516;0.7309062283575568;0.8219170212745667;0.6340526298462246;0.9944196462631225;0.7637807415491505;0.9911230087280274;0.6794549391697;0.990178570151329;0.7332280689547809;0.9851995438337326;0.6437639807170493
UWaveGestureLibraryAll;0.9700892835855484;0.8966011232001232;0.9542610496282578;0.8487762184398657;0.9794642865657807;0.8273011134364364;0.9664427429437638;0.7541534853740354;1.0;0.9130195020135496;1.0;0.8691725555109435;1.0;0.877957922566343;1.0;0.8213945940677712
