Dataset;Acc_100K;F1_100K;Convergence_Kernels_100K;Convergence_Rounds_100K;Acc_1000K;F1_1000K;Convergence_Kernels_1000K;Convergence_Rounds_1000K;Acc_10000K;F1_10000K;Convergence_Kernels_10000K;Convergence_Rounds_10000K
Yoga;0.5731333333333334;0.6165131298275884;58.0;4.8;0.6698;0.670820399866604;544.8;6.0;0.7504666666666666;0.7973869312607225;5641.4;6.6
WormsTwoClass;0.5922077922077922;0.5498173238080071;57.2;5.2;0.6363636363636364;0.7301180215363059;566.2;5.4;0.7038961038961039;0.7701413082595637;5741.4;6.6
Wine;0.5;0.0;52.0;4.0;0.5592592592592592;0.2735338345864662;548.6;5.0;0.6407407407407407;0.6875431121931426;5303.0;7.6
Wafer;0.945360155743024;0.9702937406634776;44.2;5.0;0.9739779364049319;0.9855982190904854;459.8;5.4;0.9881245944192083;0.9933744379432432;4703.4;6.4
TwoLeadECG;0.6489903424056189;0.5753781671062167;46.6;4.2;0.7615452151009657;0.7161567108013385;512.8;5.0;0.8877963125548727;0.877919760852068;5334.0;5.4
ToeSegmentation2;0.7446153846153846;0.49614867643009636;52.6;5.0;0.8569230769230769;0.6314424054232198;535.2;5.2;0.8738461538461538;0.6599663865546218;5479.2;5.6
ToeSegmentation1;0.6543859649122807;0.6736674711884828;55.8;4.4;0.793859649122807;0.7807794591003344;547.2;5.4;0.8403508771929824;0.8232696196525925;5575.6;5.0
Strawberry;0.6432432432432432;0.7828947368421052;36.0;5.0;0.8562162162162162;0.8948404037643636;467.0;5.6;0.9345945945945946;0.9493158014442414;5127.2;7.0
SonyAIBORobotSurface2;0.7154249737670514;0.7891991442205479;50.6;4.0;0.7924973767051416;0.8262984682384695;543.5;4.5;0.8130115424973767;0.8388403516708535;5562.2;5.6
SonyAIBORobotSurface1;0.4532445923460898;0.611637314291829;55.4;4.4;0.6136439267886855;0.6912637923231111;564.2;5.2;0.6582362728785358;0.7147231226966659;5761.6;5.6
ShapeletSim;0.5211111111111111;0.3226939762463552;53.6;4.0;0.5555555555555556;0.4162588911135193;518.0;4.6;0.6977777777777778;0.626163788461203;5332.2;5.2
SemgHandGenderCh2;676;0.26989256786684546;44.4;5.0;0.7073333333333334;0.2851668450570468;443.8;5.2;721;0.3337562853787875;5629.6;6.4
ProximalPhalanxOutlineCorrect;0.6879725085910653;0.8142422214787554;46.4;5.0;0.777319587628866;0.8246976268248251;536.6;6.6;0.8460481099656357;0.8911584724292461;5898.2;8.4
PowerCons;0.8744444444444445;0.8728957126464038;49.2;4.8;0.9166666666666666;0.9103129730735093;531.2;5.4;0.9333333333333333;0.9290808435883043;5501.0;5.8
PhalangesOutlinesCorrect;0.6547785547785547;0.7729405432421259;44.8;5.2;0.6836829836829836;0.7654728252213954;531.0;6.2;0.7331002331002331;0.7867210876927152;5669.2;12.8
MoteStrain;0.9164536741214058;0.9097742126846289;55.6;4.6;0.9381789137380192;0.9333054491077937;581.2;5.0;0.9292332268370607;0.9247870678518623;5844.8;5.4
MiddlePhalanxOutlineCorrect;0.5938144329896907;0.7368893029168896;54.0;5.0;0.7463917525773196;0.7776378111166822;537.2;7.6;0.7601374570446735;0.8134642548396046;5951.6;9.8
Lightning2;0.7016393442622951;0.7828715533187078;52.4;5.2;0.740983606557377;0.7969674442692432;555.0;5.0;0.7311475409836066;0.7798090681248576;5849.8;7.4
ItalyPowerDemand;0.9502429543245869;0.949863340023402;46.8;5.0;0.9529640427599612;0.9519228376073688;521.0;5.6;0.9549076773566569;0.9539360708304996;5524.8;6.0
HouseTwenty;0.7949579831932773;0.7548376668457741;50.8;4.8;0.8302521008403361;0.8111696213199251;540.0;5.0;0.8352941176470589;0.8120226991238271;5438.2;5.8
Herring;0.590625;0.0;58.0;4.0;625;0.3957387136547556;604.4;5.0;0.65;0.5160168031201273;6097.0;9.2
HandOutlines;0.6837837837837838;0.8006514739366958;35.6;5.0;0.7897297297297298;0.8015422397157795;428.0;7.6;0.8167567567567567;0.8319115884703947;5084.2;11.2
Ham;0.6019047619047618;0.7096790687152222;60.4;4.8;0.64;0.7127213064626916;570.6;5.2;0.7123809523809523;0.7355711207335326;5923.8;6.2
GunPointOldVersusYoung;0.8507936507936508;0.86581606991472;46.8;5.0;0.9485714285714286;0.9525404682417671;471.6;5.0;0.9638095238095238;0.9664486467092893;4872.0;7.2
GunPointMaleVersusFemale;0.9069620253164556;0.8916299127380887;38.0;5.0;0.979746835443038;0.9781618524427729;418.2;5.4;0.9879746835443038;0.9872006379343429;4484.2;5.8
GunPointAgeSpan;0.8772151898734177;0.8612101763037936;44.4;4.8;0.8962025316455696;0.8832335636310075;453.2;5.2;0.9329113924050633;0.9276695690774576;4657.4;5.8
GunPoint;804;0.76908172219228;52.8;5.0;0.9386666666666666;0.9339137787348991;481.0;5.0;964;0.9630249035013023;4851.6;5.2
FreezerSmallTrain;0.7496842105263157;0.7145067665228221;42.8;4.8;0.7925614035087719;0.7806198451241039;479.2;5.2;0.8143157894736842;0.8054039205692015;4793.8;5.4
FreezerRegularTrain;0.7973333333333333;0.7959436602367355;37.2;4.8;0.9007017543859649;0.8899323818411983;371.8;5.2;0.860280701754386;0.8340328632106009;3774.6;6.0
FordB;0.6111111111111112;0.7205380931988664;28.4;5.2;0.7404938271604938;0.6803263662530895;427.0;6.6;0.5254320987654321;0.11088314069018898;5105.6;9.4
FordA;0.9081818181818182;0.9049023916000589;29.0;5.0;0.7389393939393939;0.599392845260561;423.2;6.4;0.6831818181818182;0.4709759834094055;4999.4;8.4
ECGFiveDays;0.5716608594657375;0.2221840655539688;54.4;4.0;0.8132404181184669;0.7769305049529994;529.0;4.8;0.8464576074332172;0.8193872379749987;5336.8;5.4
ECG200;782;0.8445444524188639;48.8;5.0;794;0.8441516551107987;583.4;5.2;826;0.8662360839672372;6089.8;7.4
Earthquakes;0.7482014388489209;0.0;61.2;4.8;0.7525179856115108;0.04188034188034188;592.6;5.6;0.7525179856115108;0.03273273273273273;6223.0;7.2
DodgerLoopWeekend;0.9695652173913043;0.941471048513302;39.0;4.4;0.9652173913043478;0.9325508607198747;374.2;5.0;0.9652173913043478;0.9325508607198747;3897.4;5.6
DodgerLoopGame;0.6434782608695653;0.5308883322921966;58.2;4.8;0.7057971014492753;0.6678688195996425;585.0;5.2;0.7115942028985507;0.6729655000668355;5813.4;5.8
DistalPhalanxOutlineCorrect;0.672463768115942;0.7633024064482529;44.4;5.2;0.7376811594202899;0.8028251112537144;573.6;6.2;0.7630434782608695;0.809610888783942;6167.2;7.2
Computers;708;0.6923373227912132;54.2;5.0;708;0.6890011445323115;586.6;6.0;732;0.7236023077538076;5981.0;7.0
Coffee;0.85;0.8580008210180624;45.2;4.0;0.8857142857142858;0.8785641025641026;471.8;5.0;0.9428571428571428;0.9401302401302402;4769.2;5.2
Chinatown;0.9644314868804664;0.9747597296227776;52.8;4.4;0.9708454810495627;0.9795463112561715;554.2;5.0;0.9737609329446064;0.9815933884365372;5595.2;5.8
